"Date","Various bitcoin currency statistics"
"2010-06-30",42443.12
"2010-07-01",47384.78
"2010-07-02",39069.81
"2010-07-03",129295.4
"2010-07-04",21766.5
"2010-07-05",59620
"2010-07-06",37157.51
"2010-07-07",61310.31
"2010-07-08",21542.94
"2010-07-09",25316
"2010-07-10",30853.74
"2010-07-11",33656.99
"2010-07-12",2490710.99
"2010-07-13",375367.98
"2010-07-14",457056.19
"2010-07-15",108133.06
"2010-07-16",99601.75
"2010-07-17",44761.64
"2010-07-18",42807.91
"2010-07-19",56879.76
"2010-07-20",38158.85
"2010-07-21",36352.93
"2010-07-22",43947.49
"2010-07-23",40387.12
"2010-07-24",41380.86
"2010-07-25",61276.82
"2010-07-26",54379.25
"2010-07-27",83431.72
"2010-07-28",34422.77
"2010-07-29",67470.65
"2010-07-30",38727.83
"2010-07-31",26849.89
"2010-08-01",275826.17
"2010-08-02",80756.88
"2010-08-03",35410.38
"2010-08-04",43476.55
"2010-08-05",63196.35
"2010-08-06",27828.86
"2010-08-07",34545.32
"2010-08-08",24398.03
"2010-08-09",42164.61
"2010-08-10",79568.17
"2010-08-11",64335.31
"2010-08-12",37502.57
"2010-08-13",45207.98
"2010-08-14",32041.73
"2010-08-15",32624.12
"2010-08-16",41918.88
"2010-08-17",72855.15
"2010-08-18",52829.65
"2010-08-19",32027.42
"2010-08-20",36647.52
"2010-08-21",33790.41
"2010-08-22",45810.46
"2010-08-23",29274.46
"2010-08-24",28624.03
"2010-08-25",24234.76
"2010-08-26",30534.45
"2010-08-27",21534.39
"2010-08-28",39471.26
"2010-08-29",18946.78
"2010-08-30",20544.6
"2010-08-31",50604.25
"2010-09-01",25273.89
"2010-09-02",37692.37
"2010-09-03",45194.31
"2010-09-04",45032.56
"2010-09-05",128716.02
"2010-09-06",94878.79
"2010-09-07",34840.22
"2010-09-08",24540.79
"2010-09-09",40414.58
"2010-09-10",25097.62
"2010-09-11",17622.84
"2010-09-12",26765.48
"2010-09-13",114883.92
"2010-09-14",46151.354
"2010-09-15",46988.23
"2010-09-16",39173.55
"2010-09-17",44589.06
"2010-09-18",81783
"2010-09-19",63683.91
"2010-09-20",71345.62
"2010-09-21",39944.08
"2010-09-22",51528.04
"2010-09-23",123082.78
"2010-09-24",48867.6
"2010-09-25",32462.93
"2010-09-26",30732.86
"2010-09-27",39222.8
"2010-09-28",55063.235
"2010-09-29",152303.87
"2010-09-30",36006.74
"2010-10-01",74309.818
"2010-10-02",46316.148
"2010-10-03",403512.378
"2010-10-04",539563.53
"2010-10-05",189281.43
"2010-10-06",99404.95
"2010-10-07",175824
"2010-10-08",181045.43
"2010-10-09",164092.5
"2010-10-10",135145.64
"2010-10-11",71405.12
"2010-10-12",108997.45
"2010-10-13",95713.93
"2010-10-14",157733.04
"2010-10-15",145488.96
"2010-10-16",228684.56
"2010-10-17",165836.54
"2010-10-18",204295.32
"2010-10-19",269644.67
"2010-10-20",243234.45
"2010-10-21",200194.238
"2010-10-22",138906.02
"2010-10-23",49203.8
"2010-10-24",88862.99
"2010-10-25",154213.65
"2010-10-26",194450
"2010-10-27",231666.64
"2010-10-28",154286.85
"2010-10-29",136452.55
"2010-10-30",93681.81
"2010-10-31",61979.37
"2010-11-01",61627.41
"2010-11-02",65171.14
"2010-11-03",65403.99
"2010-11-04",162239.24
"2010-11-05",56243.791
"2010-11-06",121427.3
"2010-11-07",124630.78
"2010-11-08",455084.71
"2010-11-09",121502.89
"2010-11-10",59232.5
"2010-11-11",59839.1
"2010-11-12",43331.06
"2010-11-13",53430.2
"2010-11-14",36107
"2010-11-15",173010.71
"2010-11-16",478994.38
"2010-11-17",86941.96
"2010-11-18",64061.66
"2010-11-19",63583.911
"2010-11-20",171110.34
"2010-11-21",138363.57
"2010-11-22",37773.97
"2010-11-23",44876.14
"2010-11-24",52383.97
"2010-11-25",56769.8
"2010-11-26",104730.61
"2010-11-27",31891.1
"2010-11-28",33924.38
"2010-11-29",33563.41
"2010-11-30",51951.56
"2010-12-01",84893.23
"2010-12-02",80412.8
"2010-12-03",40131.16
"2010-12-04",62846.948
"2010-12-05",46592.154
"2010-12-06",109183.746
"2010-12-07",69114.753
"2010-12-08",64972.247
"2010-12-09",52106.587
"2010-12-10",40043.89
"2010-12-11",83411.697
"2010-12-12",51986.979
"2010-12-13",145857.129
"2010-12-14",159576.292
"2010-12-15",121157.07
"2010-12-16",94420.288
"2010-12-17",74686.691
"2010-12-18",86309.052
"2010-12-19",112871.801
"2010-12-20",69753.339
"2010-12-21",94510.825
"2010-12-22",122101.312
"2010-12-23",75604.72
"2010-12-24",73279.398
"2010-12-25",106564.977
"2010-12-26",93879.603
"2010-12-27",72783.893
"2010-12-28",81651.991
"2010-12-29",127133.533
"2010-12-30",66672.779
"2010-12-31",66441.893
"2011-01-01",73186.629
"2011-01-02",47462.471
"2011-01-03",64231.718
"2011-01-04",70985.13
"2011-01-05",55566.72
"2011-01-06",42145.097
"2011-01-07",54915.817
"2011-01-08",72498.49
"2011-01-09",46365.632
"2011-01-10",75912.069
"2011-01-11",85878.098
"2011-01-12",105022.808
"2011-01-13",74079.135
"2011-01-14",117634.077
"2011-01-15",99128.746
"2011-01-16",49341.458
"2011-01-17",91444.849
"2011-01-18",77342.278
"2011-01-19",93918.803
"2011-01-20",75968.894
"2011-01-21",60052.794
"2011-01-22",79499.307
"2011-01-23",82264.662
"2011-01-24",71524.42
"2011-01-25",76827.208
"2011-01-26",61868.482
"2011-01-27",907174.35
"2011-01-28",203259.119
"2011-01-29",64724.602
"2011-01-30",290621.729
"2011-01-31",256095.78
"2011-02-01",151647.541
"2011-02-02",157297.492
"2011-02-03",78511.488
"2011-02-04",59511.577
